customer_id,total_orders,total_items,total_revenue,first_order_date,last_order_date,days_since_last_order,churned,avg_order_value
12346,12,74285,77556.46,2009-12-14 08:34:00,2011-01-18 10:01:00,325,1,6463.038333333334
12347,8,3286,5633.32,2010-10-31 14:20:00,2011-12-07 15:52:00,2,0,704.165
12348,5,2714,2019.4,2010-09-27 14:59:00,2011-09-25 13:13:00,75,0,403.88
12349,4,1624,4428.69,2010-04-29 13:20:00,2011-11-21 09:51:00,18,0,1107.1725
12350,1,197,334.4,2011-02-02 16:01:00,2011-02-02 16:01:00,310,1,334.4
12351,1,261,300.93,2010-11-29 15:23:00,2010-11-29 15:23:00,375,1,300.93
12352,10,724,2849.84,2010-11-12 10:20:00,2011-11-03 14:37:00,36,0,284.98400000000004
12353,2,212,406.76,2010-10-27 12:44:00,2011-05-19 17:47:00,204,1,203.38
12354,1,530,1079.4,2011-04-21 13:11:00,2011-04-21 13:11:00,232,1,1079.4
12355,2,543,947.61,2010-05-21 11:59:00,2011-05-09 13:49:00,214,1,473.805
12356,6,3417,6373.68,2010-10-11 09:42:00,2011-11-17 08:40:00,22,0,1062.28
12357,3,6587,18287.66,2010-11-16 10:05:00,2011-11-06 16:07:00,33,0,6095.886666666666
12358,5,1079,3887.07,2009-12-08 07:59:00,2011-12-08 10:26:00,1,0,777.414
12359,10,2752,8935.94,2009-12-05 13:32:00,2011-10-13 12:47:00,57,0,893.594
12360,8,2459,4252.89,2010-02-22 09:32:00,2011-10-18 15:22:00,52,0,531.61125
12361,4,235,511.25,2010-01-26 14:37:00,2011-02-25 13:51:00,287,1,127.8125
12362,11,2230,5356.23,2009-12-01 10:10:00,2011-12-06 15:40:00,3,0,486.92999999999995
12363,2,408,552.0,2011-04-11 13:29:00,2011-08-22 10:18:00,109,1,276.0
12364,4,1506,1313.1,2011-08-19 15:24:00,2011-12-02 10:22:00,7,0,328.275
12365,2,174,641.38,2011-02-21 13:51:00,2011-02-21 14:04:00,291,1,320.69
12366,1,296,500.24,2010-03-16 10:28:00,2010-03-16 10:28:00,633,1,500.24
12367,1,173,168.9,2011-12-05 16:48:00,2011-12-05 16:48:00,4,0,168.9
